project,class,complexity,category,methods,llama_line,llama_branch,gpt_line,gpt_branch,claude_line,claude_branch,mistral_line,mistral_branch
Math-2f,FieldLUDecomposition,12,e,8,97.56,88.89,0.0,0.0,100.0,98.15,0.0,0.0
Math-2f,Dfp,31,,94,66.39,58.48,54.01,48.2,62.11,57.33,49.18,40.62
Math-2f,NaturalRanking,13,,2,60.31,55.36,71.76,75.0,81.68,82.14,83.97,85.71
Math-2f,SmoothingPolynomialBicubicSplineInterpolator,13,e,1,92.0,81.25,100.0,93.75,98.0,96.88,96.0,87.5
Math-2f,BracketingNthOrderBrentSolverDFP,19,,2,0.0,0.0,27.91,15.15,86.05,68.18,6.98,3.03
Math-2f,LUDecomposition,12,,6,83.53,83.33,94.12,87.04,100.0,94.44,97.65,92.59
Math-2f,ArrayFieldVector,14,e,38,54.74,61.46,0.0,0.0,41.28,37.5,0.0,0.0
Math-2f,Beta,16,,6,91.85,83.72,74.07,68.6,91.85,83.72,87.41,70.93
Math-2f,Frequency,11,,32,89.19,80.36,90.54,83.93,97.97,91.07,94.59,85.71
Math-2f,BicubicSplineInterpolator,14,,1,100.0,100.0,100.0,94.12,100.0,94.12,100.0,100.0
Math-2f,FastMath,29,,59,69.54,48.96,44.28,23.19,72.14,54.53,0.0,0.0
Math-2f,RealMatrixFormat,16,,5,91.51,77.27,72.64,65.91,98.11,90.91,94.34,84.09
Math-2f,ArithmeticUtils,14,,25,81.4,73.02,40.24,34.13,70.12,65.48,74.39,67.06
Math-2f,TricubicSplineInterpolator,23,,1,34.18,33.33,26.58,25.93,100.0,94.44,100.0,94.44
Math-2f,LoessInterpolator,16,,3,92.24,88.46,91.38,82.69,87.93,73.08,87.93,67.31
Math-2f,SimpleRegression,13,,21,90.04,81.45,74.89,62.9,87.88,74.19,61.47,39.52
Math-2f,MultivariateNormalMixtureExpectationMaximization,15,,6,100.0,100.0,26.13,31.48,43.24,46.3,49.55,50.0
Math-2f,ProperBigFractionFormat,11,e,3,92.54,88.89,91.04,88.89,85.07,81.48,95.52,92.59
Math-2f,OrderedTuple,13,,3,91.06,72.34,91.87,73.4,92.68,74.47,87.8,68.09
