project,class,complexity,iter_0_line,iter_0_branch,iter_1_line,iter_1_branch,iter_2_line,iter_2_branch,final_line,final_branch,final_iter
Csv,CSVParser,11,45.54,30.36,57.55,37.5,63.21,37.5,64.36,37.5,6
Jsoup,CharacterReader,11,35.83,24.5,37.8,25.5,42.52,29.0,80.71,65.5,10
JacksonDatabind,ClassUtil,15,1.76,0.38,1.76,0.76,1.76,0.76,1.76,0.76,3
Lang,ClassUtils,19,20.81,9.57,20.81,9.57,24.16,12.17,24.83,13.91,5
Codec,ColognePhonetic,22,74.42,60.47,74.42,61.63,81.4,65.12,91.86,75.58,14
Lang,CompareToBuilder,15,40.23,42.5,40.23,42.5,40.23,42.5,40.23,42.5,3
Lang,Conversion,23,1.15,0.66,6.91,5.04,6.91,5.04,6.91,5.04,3
Compress,CpioArchiveInputStream,12,7.31,13.89,7.31,13.89,7.31,13.89,8.22,17.59,5
JxPath,DOMNodePointer,12,1.69,0.72,4.8,3.99,7.63,6.88,7.63,6.88,6
Jsoup,DataUtil,22,10.71,6.0,10.71,6.0,15.18,9.0,79.46,54.0,10
Time,DateTimeFormatterBuilder,30,23.44,19.42,23.44,19.42,23.44,19.42,27.6,23.3,6
Time,DateTimeParserBucket,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Time,DateTimeZoneBuilder,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,DateUtils,19,0.0,0.0,3.87,1.83,3.87,1.83,33.23,24.77,16
Time,Days,12,43.42,30.77,82.89,66.67,93.42,79.49,94.74,84.62,7
JxPath,DescendantContext,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,DfpMath,28,0.0,0.0,33.33,14.43,33.33,14.43,33.33,14.43,3
Math,Dfp,31,0.0,0.0,48.45,41.39,48.45,41.39,48.45,41.39,3
Codec,DoubleMetaphone,31,10.1,5.25,39.42,25.8,39.9,26.03,55.05,37.9,11
Lang,DurationFormatUtils,20,50.68,38.35,50.68,38.35,50.68,38.35,50.68,38.35,3
Lang,EqualsBuilder,14,15.65,10.78,17.18,12.07,17.18,12.07,17.18,12.07,3
Gson,Excluder,11,20.22,8.54,20.22,8.54,29.21,19.51,64.04,43.9,6
Lang,ExtendedMessageFormat,11,6.99,0.9,10.75,1.8,14.52,7.21,76.88,53.15,10
Compress,ExtraFieldUtils,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,FastDatePrinter,30,0.0,0.0,54.71,47.06,60.0,50.98,61.18,52.94,6
Math,FastFourierTransformer,13,0.0,0.0,42.2,38.1,42.2,38.1,42.2,38.1,3
Math,FastMath,29,1.23,0.26,1.23,0.26,1.23,0.26,3.76,0.91,5
Math,FieldLUDecomposition,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,FieldUtils,18,32.87,29.17,32.87,29.17,34.27,31.94,34.27,31.94,4
Collections,Flat3Map,23,31.56,25.17,37.15,31.03,49.16,40.34,49.16,40.34,5
Jsoup,FormElement,12,0.0,0.0,0.0,0.0,66.67,60.0,78.57,80.0,10
Time,FormatUtils,12,11.92,13.73,13.25,13.73,25.17,24.51,54.97,48.04,7
Math,Frequency,11,20.95,16.07,77.03,73.21,85.14,83.93,87.16,89.29,5
JacksonXml,FromXmlParser,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,GaussNewtonOptimizer,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Gson,Gson,22,35.39,9.26,79.84,53.7,79.84,53.7,79.84,53.7,4
